reaction_id,flux
PGMT,-0.002632924090788769
HEX1,4.999999999999886
PGI,4.9760376846618035
PFK,4.9760376846618035
TPI,4.967487566235451
GAPD,9.943525250897254
PGK,-9.943525250897256
PGM,-9.060072773712259
PYK,9.060072773712259
LDH__L,-9.05088308003618
GCC2cm,0.9307400097991531
MDH,0.4935390945971744
FUM,0.011321491586555182
r0509,0.5696844599675868
SUCOASm,-0.5696844599675868
GLNLASEer,0.0
PGL,0.011926676661602131
GND,0.011926676661602131
PPM,0.024903304326372548
PRPPS,0.036829980987974686
FBA,4.9760376846618035
RE0383C,0.0
GALU,0.002632924090788769
HEX4,0.0
MAN6PI,0.0
UDPG4E,0.0
INOSTO,0.0
ACCOACm,0.12865571146512128
C160CPT1,0.0
ACACT1r,-0.00918969367608009
HMGCOASim,0.009189693676080093
COQ3m,0.0
NADH2_u10m,5.924076173558608
ATPS4m,12.01639243341017
CYOOm3,3.766188813871033
CYOR_u10m,7.532377627742064
PPAm,0.39261280933483866
r0034,0.005217876193938903
GLUDxm,-0.329693418726571
GLUPRT,0.006708800467663233
PRAGSr,0.006708800467663238
GARFT,0.006708800467663239
PRFGS,0.006708800467663241
r0666,0.006708800467663234
AIRCr,0.006708800467663225
PRASCS,0.006708800467663225
ADSL2,0.006708800467663225
AICART,0.00670880046766323
IMPC,-0.006708800467663225
NDPK5,0.0008620607180383781
NDPK10,0.0011958828828462645
NDPK10n,-0.0011958828828462645
GMPR,0.9940458926776633
r0276,0.9961420020264345
ADSS,0.004612691118891959
ADK1m,0.0
NDPK8,0.0023917657654651788
NDPK8m,0.0011958828827325894
RNDR2,0.02526309423366323
ADKd,0.0011958828827325894
PUNP1,0.0011958828827326727
PUNP3,0.0005022708107476771
NTD7,0.0011958828826189858
NTD8,0.024401033515624795
PUNP4,0.02440103351562487
GUAPRT,0.024903304326372548
GK1,0.02649714286439618
NDPK1,0.0058467397496249005
PYNP2r,0.023205150632892205
NTD2,0.007850800284727674
OMPDC,0.005217876193938905
ORPT,0.005217876193938903
DHORD9,0.005217876193938903
DHORTS,-0.005217876193938903
NDP7r,0.0
UMPK2m,-0.0026329240907887693
ASPCTr,0.005217876193938903
NDPK3m,-0.0021306532800410864
CTPS2,0.018412257047394305
CYTDe,0.01535435034816453
r0531,-0.0228713284681981
CYTK1m,0.0005022708107476833
DCMPDA,0.0008620607180383716
RNDR3,0.0017241214360767566
DURIPP,-0.023205150632892205
DURIK1,0.023205150632892323
URIDK2,0.024067211350930692
NDPK6m,0.0011958828827325898
TMDSm,0.0011958828827325896
r0475,0.0228713284681981
RE0452M,0.0011958828827325894
NDPK4n,0.0011958828827325892
ADSL1,0.004612691118891959
ASPTA,-0.04772238979665212
ASPTAm,-0.096656550633046
GLUNm,0.44760081976194943
PSERT,0.883452477184995
GHMT2rm,0.883452477184995
r0552,-1.2834305355227518
r0553,1.2834305355227518
ILETA,0.03199916083218902
r0670,0.031999160832189025
VALTA,0.015288371781968846
r0385,0.015288371781968848
r0561,0.01528837178196884
r0604,0.031999160832189025
r0560,0.01528837178196884
r0603,0.031999160832189025
ECOAH12m,0.015288371781968842
ECOAH9m,0.03199916083218902
3HBCOAHLm,0.015288371781968842
HACD9m,0.031999160832189025
HIBDm,0.015288371781968842
HMGLm,0.009189693676080092
ACACT10m,0.03199916083218902
MMSAD1m,0.01528837178196884
PPCOACm,0.04728753261415786
MMEm,-0.04728753261415785
MMMm,0.047287532614157864
SACCD3m,0.009189693676080059
r0525,0.009189693676080093
r0450,0.009189693676080092
2OXOADOXm,0.009189693676080092
HACD1m,-0.009189693676080092
PHETA1,11.027330986227325
PHETA1m,-11.027330986227325
TRPO2,0.013417600935326464
KYN3OX,0.013417600935326466
r0541,0.00918969367608009
APAT2rm,0.09665655063304598
MMSAD3m,0.09665655063304601
AMPTASECG,0.018520216727816285
G6PDH2r,0.011926676661602131
r0129,0.018520216727816282
GLGNS1,0.0008776413635962566
GLBRAN,0.000877641363596265
ENMAN3g,0.0
G3M8MASNterg,0.0
M7MASNBterg,0.0
MG1er,0.0
MG2er,0.0
MG3er,0.0
MM6B2g,0.0
MM7Ag,0.0
MM7B2g,0.0
MM8Ber,0.0
GPAM_hs,0.017277910880998747
ACGPIDr,0.0
BMTer__L,0.0
GPIATr,0.0
GPIMTer__L,0.0
H2MTer__L,0.0
H2MTer_U,0.0
H5MTer_U,0.0
H6MTer__L,0.0
PIACGTr,0.0
r0205,0.9769218917315541
CHOLK,0.01645661268533407
DAGK_hs,-0.01609569523132537
PSDm_hs,0.0017084041181893933
PGPPTm,0.00027676146714668206
CLSm_hs,0.00022550934360100042
DSAT,0.0007311969625850693
RE2675C,0.0007311969625850693
ME2m,0.08746685695696592
PCm,0.09665655063304601
r0220,0.0
AACOAT,0.009189693676080092
FTHFL,0.013417600935326464
MTHFCm,1.7657090714872576
r0226,0.0011958828827325777
FTHFDHm,1.7657090714872576
ADK1,0.374620068002715
ADK1n,0.0
NTD7m,0.0
NTD9m,0.0005022708107476772
r0475m,0.0
PSP__Lm,0.8834524771849951
r0552m,2.8389323539118454
r0553m,-2.8389323539118454
r0594m,0.009189693676080093
SALMCOM2,0.0
3HKYNAKGAT,0.013417600935326464
ECOAH1m,-0.009189693676080092
ASP1DCm,0.09665655063304598
r0202c,-0.9854720101579075
r1418,0.024358904269956405
r1418c,-2.733131058777015
r1418m,-0.2725997947123252
2HCO3_NAt,-1.3758256377524156
NKCCt,-0.01994500305437874
KCCt,0.01994500305437874
TYRPHELAT2tc,0.015885356516407594
ASNt4,0.017027048820511224
GLNt4,0.0
SERt4,0.04500503637478123
PROt4,0.023196369435952085
GLYt4,0.014598734666772204
THRt4,0.0310775793139834
HIStN1,0.012186866609021737
GLNtN1,0.4903913658419775
ALAtN1,0.031092681606388218
LYSt5r,0.03528208143702208
ILEtec,0.05000000000006821
LEUtec,0.049999999999378666
PHEtec,0.0391579207760301
VALtec,0.05
TRPt,0.021447168626981372
METtec,0.010738618269950215
ARGATB0tc,0.019945003054378747
GLUt4,0.049999999999999996
CYSGLUexR,-0.009608634158022536
LYStm,0.009189693676080059
MALtm,-10.639078855805783
GLUt2m,10.231657360386645
AMETt2m,0.0
GLCt1,4.999999999999886
INSTt2,0.000621859098907254
L__LACt2r,-9.05088308003618
NH4t,-0.9949079533957017
CHOLtu,0.005179881286350228
URIt,0.01535435034816453
CYTDt,-0.015354350348164531
PPItr,0.005217876193938903
PPItm,0.39141692645210613
CO2t,-0.6638760612475203
O2t,3.793755212704271
H2O2t,-0.07532377627742065
COAtim,0.12865571146523497
COAtr,0.0
OAAt_1,0.44581670480052227
CHOLESTTDe,-0.0006970630483036438
BIOMASS_maintenance,0.034168082363788266
H2Oter,0.0
H2Otg,0.0
H2Otm,-14.416838885260676
CO2tm,-3.257184459208952
O2Stm,-0.07532377627742065
O2tm,3.766188813871033
PIter,-0.005217876193938903
PIt9,0.05381701898523292
GLNtm,0.44760081976194943
GLYtm,0.0
ATPM,18.5
3DSPHR,0.0007311969625850693
R_group_phosphotase_1,0.018009107843583814
ASCBOX,0.037661888138710325
CDIPTr,0.0006218590989072539
