Subsystems,Pathways,Increased,Decreased,On,Off,Unchanged,Increased_reactions,Decreased_reactions,Reversed_reactions,On_reactions,Off_reactions,Unchanged_reactions,n_reactions,flux_fast,flux_slow,total_flux_shift,mean_flux_shift
"AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Nitrogen disposal; Taurine And Hypotaurine Metabolism",Taurine And Hypotaurine Metabolism,0,0,0,1,0,,,,,GLUDxm (2000.00),,1,0.0,0.329693418726571,-0.329693418726571,-0.329693418726571
"AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Nitrogen disposal; Taurine And Hypotaurine Metabolism; Biosynthesis Of Amino Acids",Nitrogen Metabolism,2,0,0,1,2,r1418 (1.40); r1418m (1.86),,,,GLUDxm (2000.00),r0034 (1.00); r1418c (0.87),5,2.915096451773456,3.3650010526798066,-0.44990460090635054,-0.0899809201812701
"AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids; AA other (Cys/Met/Lys/Arg/Pro); Methane Metabolism",Cysteine And Methionine Metabolism,0,2,0,0,0,,PGCD (0.60); PSERT (0.60),,,,,2,1.0572978533573376,1.76690495436999,-0.7096071010126523,-0.35480355050632617
"AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids; Cyanoamino Acid Metabolism; Folate Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism",Cyanoamino Acid Metabolism,0,1,0,0,0,,GHMT2rm (0.60),,,,,1,0.5286489266786687,0.883452477184995,-0.3548035505063263,-0.3548035505063263
"AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids; Cyanoamino Acid Metabolism; Folate Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism","Glycine, Serine And Threonine Metabolism",0,6,0,0,5,,GCC2am (0.60); GCC2bim (0.60); GHMT2rm (0.60); PGCD (0.60); PSERT (0.60); PSP__Lm (0.60),,,,PGM (1.04); r0552 (0.98); r0552m (0.98); r0553 (0.98); r0553m (0.98),11,20.68906351336533,22.605513415691426,-1.9164499023260966,-0.17422271839328152
"AA central (A/D/E,G/S/T); Nucleotide metabolism",Pyrimidine Metabolism,0,0,0,0,13,,,,,,ASPCTr (1.00); CTPS2 (1.00); CYTDK1 (1.00); CYTK1 (1.00); CYTK1m (1.00); NDPK3m (1.00); NDPK4n (1.00); NDPK6m (1.00); NTD2 (1.00); OMPDC (1.00); ORPT (1.00); PYNP2r (1.00); URIDK2 (1.00),13,0.103454837308866,0.10345483731012521,-1.2592149545298525e-12,-9.686268880998866e-14
"AA central (A/D/E,G/S/T); Nucleotide metabolism",Pyrimidine Synthesis,0,0,0,0,6,,,,,,ASPCTr (1.00); CTPS2 (1.00); DHORTS (1.00); OMPDC (1.00); ORPT (1.00); RE0452M (1.00),6,0.0404796447051819,0.0404796447058824,-7.005021562811464e-13,-1.1675035938019107e-13
"AA central (A/D/E,G/S/T); Nucleotide metabolism; Nitrogen disposal; 2-oxocarboxylic Acid Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Biosynthesis Of Amino Acids; Cyanoamino Acid Metabolism; Folate Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism; Taurine And Hypotaurine Metabolism","Alanine, Aspartate And Glutamate Metabolism",0,6,1,2,11,,GCC2am (0.60); GCC2bim (0.60); GHMT2rm (0.60); PGCD (0.60); PSERT (0.60); PSP__Lm (0.60),,ALATA__L (1000.00),ASPTAm (2000.00); GLUDxm (2000.00),ADSL1 (1.00); ADSS (1.00); ASPCTr (1.00); ASPTA (1.00); GLUNm (1.00); GLUPRT (1.00); r0034 (1.00); r0552 (0.98); r0552m (0.98); r0553 (0.98); r0553m (0.98),20,11.82697301540718,14.49348375599071,-2.6665107405835293,-0.13332553702917646
Ascorbate And Aldarate Metabolism,Ascorbate And Aldarate Metabolism,0,0,0,0,1,,,,,,DASCBR (0.95),1,0.0356199873653059,0.0376618881387103,-0.0020419007734043954,-0.0020419007734043954
BCAA metabolism (Val/Leu/Iso); 2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Glyoxylate And Dicarboxylate Metabolism; Propanoate Metabolism; Pantothenate And Coa Biosynthesis,"Valine, Leucine And Isoleucine Biosynthesis",0,0,0,0,18,,,,,,3HBCOAHLm (1.00); ACACT10m (1.00); ECOAH12m (1.00); ECOAH9m (1.00); HACD9m (1.00); HIBDm (1.00); ILETA (1.00); MMEm (1.00); MMMm (1.00); MMSAD1m (1.00); PPCOACm (1.00); VALTA (1.00); r0385 (1.00); r0560 (1.00); r0561 (1.00); r0603 (1.00); r0604 (1.00); r0670 (1.00),18,0.48816369791342584,0.48816369792354686,-1.0121015137087852e-11,-5.622786187271029e-13
BCAA metabolism (Val/Leu/Iso); Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); 2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Propanoate Metabolism; Pantothenate And Coa Biosynthesis,"Valine, Leucine And Isoleucine Degradation",0,0,1,0,15,,,,ACACT1rm (1000.00),,3HBCOAHLm (1.00); AACOAT (1.00); ACACT10m (1.00); ACACT1r (1.00); ECOAH12m (1.00); ECOAH9m (1.00); HACD9m (1.00); HMGCOASim (1.00); HMGLm (1.00); ILETA (1.00); MMEm (1.00); MMMm (1.00); MMSAD1m (1.00); PPCOACm (1.00); VALTA (1.00),16,0.37696119667189537,0.36777150300342465,0.009189693668470722,0.0005743558542794201
Beta-alanine Metabolism; Inositol Phosphate Metabolism; Propanoate Metabolism,Inositol Phosphate Metabolism,0,0,0,1,0,,,,,MMSAD3m (2000.00),,1,0.0,0.096656550633046,-0.096656550633046,-0.096656550633046
Beta-alanine Metabolism; Propanoate Metabolism; Inositol Phosphate Metabolism,Beta-alanine Metabolism,0,0,0,3,0,,,,,APAT2rm (2000.00); ASP1DCm (2000.00); MMSAD3m (2000.00),,3,0.0,0.2899696518991378,-0.2899696518991378,-0.09665655063304594
Biomass And Maintenance Functions; Nucleotide metabolism; Nitrogen disposal,Biomass And Maintenance Functions,0,0,0,0,2,,,,,,ATPM (1.00); BIOMASS_maintenance (1.00),2,18.53416808236435,18.534168082363788,5.613287612504791e-13,2.8066438062523957e-13
"Biosynthesis Of Amino Acids; Central Energy Metabolism; Methane Metabolism; AA central (A/D/E,G/S/T); Cyanoamino Acid Metabolism; Folate Metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro)",Methane Metabolism,0,4,0,0,2,,GHMT2rm (0.60); MDH (0.34); PGCD (0.60); PSERT (0.60),,,,ENO (1.04); PGM (1.04),6,20.58367901818577,21.264042073576682,-0.680363055390913,-0.11339384256515217
"Biosynthesis Of Amino Acids; Central Energy Metabolism; Methane Metabolism; Starch And Sucrose Metabolism; 2-oxocarboxylic Acid Metabolism; AA central (A/D/E,G/S/T)",Glycolysis/Gluconeogenesis,0,1,1,0,10,,GCC2cm (0.62),,PDHm (1000.00),,ENO (1.04); GAPD (1.00); HEX1 (1.00); PFK (1.00); PGI (1.00); PGK (1.00); PGM (1.04); PGMT (1.00); PYK (1.04); TPI (1.00),12,69.0763897860858,67.92020469238018,1.1561850937056164,0.09634875780880137
Butanoate Metabolism; BCAA metabolism (Val/Leu/Iso); Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr),Butanoate Metabolism,0,0,1,2,4,,,,ACACT1rm (1000.00),ECOAH1m (2000.00); HACD1m (2000.00),AACOAT (1.00); ACACT1r (1.00); HMGCOASim (1.00); HMGLm (1.00),7,0.04594846837954541,0.05513816205647999,-0.009189693676934584,-0.0013128133824192262
Butanoate Metabolism; Lipid metabolism; BCAA metabolism (Val/Leu/Iso),Cholesterol Metabolism,0,0,0,0,1,,,,,,HMGLm (1.00),1,0.0091896936759318,0.00918969367608,-1.481991612761746e-13,-1.481991612761746e-13
Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso),Terpenoid Backbone Biosynthesis,0,0,1,0,2,,,,ACACT1rm (1000.00),,ACACT1r (1.00); HMGCOASim (1.00),3,0.027569081027681804,0.01837938735216,0.009189693675521804,0.0030632312251739346
"Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso); 2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; AA central (A/D/E,G/S/T); Cyanoamino Acid Metabolism; Folate Metabolism; Methane Metabolism; Propanoate Metabolism",Glyoxylate And Dicarboxylate Metabolism,0,2,2,0,4,,GHMT2rm (0.60); MDH (0.34),,ACACT1rm (1000.00); CSm (1000.00),,ACACT1r (1.00); MMEm (1.00); MMMm (1.00); PPCOACm (1.00),8,1.1884125562974734,1.5280438633007227,-0.3396313070032493,-0.04245391337540616
Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso); 2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Lysine Biosynthesis,Lysine Degradation,0,0,1,5,1,,,,ACACT1rm (1000.00),ECOAH1m (2000.00); HACD1m (2000.00); SACCD3m (2000.00); r0450 (2000.00); r0525 (2000.00),ACACT1r (1.00),7,0.01837938735175,0.05513816205647999,-0.03675877470472999,-0.005251253529247142
Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso); Propanoate Metabolism,Fatty Acid Degradation,0,0,1,2,2,,,,ACACT1rm (1000.00),ECOAH1m (2000.00); HACD1m (2000.00),ACACT1r (1.00); ACCOACm (1.00),5,0.14703509881479643,0.1562247924933612,-0.009189693678564759,-0.0018379387357129518
Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso); Propanoate Metabolism,Fatty Acid Metabolism,0,0,1,2,2,,,,ACACT1rm (1000.00),ECOAH1m (2000.00); HACD1m (2000.00),ACACT1r (1.00); ACCOACm (1.00),5,0.14703509881479643,0.1562247924933612,-0.009189693678564759,-0.0018379387357129518
Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso); Propanoate Metabolism; Methane Metabolism; Biosynthesis Of Amino Acids,Pyruvate Metabolism,3,1,1,0,5,FUMm (1.62); ME2m (8.79); PCm (3.43),MDH (0.34),,ACACT1rm (1000.00),,ACACT1r (1.00); ACCOACm (1.00); FUM (1.00); LDH__L (1.04); PYK (1.04),10,21.141867313579397,19.507469712630968,1.6343976009484287,0.16343976009484287
Butanoate Metabolism; Lipid metabolism; Terpenoid Backbone Biosynthesis; BCAA metabolism (Val/Leu/Iso),Synthesis And Degradation Of Ketone Bodies,0,0,0,0,1,,,,,,HMGCOASim (1.00),1,0.0091896936759318,0.00918969367608,-1.481991612761746e-13,-1.481991612761746e-13
Extracellular Transport,Extracellular Transport,2,3,3,6,29,CO2t (2.01); CYSGLUexR (2.52),BTNt2 (0.02); BTNt4i (0.02); OAAt_1 (0.27),,ARGLYSex (1000.00); ASNtN1 (1000.00); GLNt4 (1000.00),ALAtN1 (2000.00); ARGATB0tc (2000.00); ASNt4 (2000.00); GLYt4 (2000.00); KCCt (2000.00); NKCCt (2000.00),2HCO3_NAt (0.87); CHOLESTTDe (1.00); CHOLESTle (1.00); CHOLtu (1.00); CYTDt (1.00); GLCt1 (1.00); GLNtN1 (0.82); GLUt4 (1.20); H2O2t (0.95); HIStN1 (1.00); ILEtec (1.00); INSTt2 (1.00); METtec (1.00); NH4t (0.97); O2t (0.95); PCt (1.00); PHEtec (1.00); PIt9 (1.00); PROt4 (1.00); PSFLIP (1.00); RTOTALt (1.00); SERt4 (1.00); THRt4 (1.00); TRPt (1.00); TYRPHELAT2tc (1.00); URIt (1.00); VALtec (1.00); r1030 (1.00); r1402 (1.00),43,13.32375410600646,14.07074130965702,-0.7469872036505603,-0.01737179543373396
"Folate Metabolism; Nitrogen disposal; Nucleotide metabolism; AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids; Cyanoamino Acid Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism",Folate Metabolism,0,4,0,0,6,,FTHFDHm (0.60); GHMT2rm (0.60); MTHFCm (0.60); MTHFD2m (0.60),,,,AICART (1.00); FTHFL (1.00); GARFT (1.00); r0226 (1.00); r0552 (0.98); r0553 (0.98),10,6.237542928787514,8.775471847445656,-2.5379289186581424,-0.2537928918658142
Lipid metabolism,Glycerophospholipid Metabolism,0,1,0,1,13,,r0202c (0.01),,,r0205 (2000.00),CDIPTr (1.00); CDS (1.00); CEPTC (1.00); CHLPCTD (1.00); CHOLK (1.00); CLSm_hs (1.00); DAGK_hs (1.00); GPDDA1 (1.00); LPASE (1.00); PGPPTm (1.00); PGPP_hs (1.00); PSDm_hs (1.00); PSSA1_hs (1.00),15,0.09853036243776168,2.05237414590221,-1.9538437834644482,-0.1302562522309632
Lipid metabolism,Sphingolipid Metabolism,0,0,0,0,5,,,,,,3DSPHR (1.00); DSAT (1.00); RE2675C (1.00); SERPT (1.00); SMS (1.00),5,0.0036559848129849998,0.003655984812925,5.999974822534782e-14,1.1999949645069563e-14
Lipid metabolism,Triacylglycerol Synthesis,0,0,0,0,3,,,,,,AGPAT1 (1.00); DGAT (1.00); GPAM_hs (1.00),3,0.0349261012702368,0.0349261012705737,-3.3690411571640766e-13,-1.1230137190546922e-13
Lipid metabolism; Propanoate Metabolism; Central Energy Metabolism,Fatty Acid Biosynthesis,0,0,0,0,8,,,,,,ACCOACm (1.00); ARTPLM2 (1.00); ARTPLM3 (1.00); FAS100COA (1.00); FAS120COA (1.00); FAS140COA (1.00); FAS160COA (1.00); FAS80COA__L (1.00),8,0.2382008386117745,0.23820083861549668,-3.722189223509531e-12,-4.652736529386914e-13
Lipid metabolism; Propanoate Metabolism; Central Energy Metabolism; Beta-alanine Metabolism; Glyoxylate And Dicarboxylate Metabolism; BCAA metabolism (Val/Leu/Iso); Inositol Phosphate Metabolism,Propanoate Metabolism,1,0,0,2,4,SUCOASm (1.62),,,,APAT2rm (2000.00); MMSAD3m (2000.00),ACCOACm (1.00); MMEm (1.00); MMMm (1.00); PPCOACm (1.00),7,1.1961067611636884,1.0335158705412733,0.16259089062241516,0.023227270088916452
Mitochondrial transport,"Transport, Mitochondrial",0,1,0,1,30,,PSERtm (0.60),,,LYStm (2000.00),3MOBt2im (1.00); AKGMALtm (1.03); ATPtm (0.97); CO2tm (1.09); COAtim (1.00); DHORD9 (1.00); DNDPt14m (1.00); GLNtm (1.00); GLUt2m (1.03); H2Otm (0.95); HUMANGEM_MAR00120 (1.00); HUMANGEM_MAR00587 (1.00); HUMANGEM_MAR05036 (1.00); HUMANGEM_MAR05116 (1.00); HUMANGEM_MAR08093 (1.00); HUMANGEM_MAR08651 (1.00); HUMANGEM_MAR08891 (1.00); HUMANGEM_MAR11363 (1.00); HUMANGEM_MAR11371 (1.00); HUMANGEM_MAR11443 (1.00); HUMANGEM_MAR20139 (0.97); HUMANGEM_MAR20145 (0.97); HUMANGEM_MAR20147 (1.00); HUMANGEM_MAR20148 (1.00); MALCOAtm (1.00); MALtm (1.00); O2Stm (0.95); O2tm (0.95); PPItm (1.00); r1464 (1.00),32,90.27213040923691,90.95621020527359,-0.6840797960366842,-0.021377493626146382
"Nitrogen disposal; Nucleotide metabolism; Folate Metabolism; AA central (A/D/E,G/S/T)",Purine Synthesis,0,0,0,0,10,,,,,,ADSL2 (1.00); AICART (1.00); AIRCr (1.00); GARFT (1.00); GLUPRT (1.00); IMPC (1.00); PRAGSr (1.00); PRASCS (1.00); PRFGS (1.00); r0666 (1.00),10,0.06708800468112,0.067088004676632,4.488007188108156e-12,4.488007188108156e-13
Nucleotide metabolism,Pyrimidine Catabolism,0,0,0,0,4,,,,,,CYTDe (1.00); DCMPDA (1.00); NTD2 (1.00); PYNP2r (1.00),4,0.0472723619832337,0.047272361983822606,-5.889039256246065e-13,-1.4722598140615162e-13
"Nucleotide metabolism; Nitrogen disposal; AA central (A/D/E,G/S/T)",Nucleotide Interconversion,0,0,0,0,36,,,,,,ADK1 (1.00); ADKd (1.00); ADSL1 (1.00); ADSS (1.00); CYTDK1 (1.00); CYTK1 (1.00); CYTK12 (1.00); CYTK1m (1.00); DADNK (1.00); DGK1 (1.00); DURIK1 (1.00); DURIPP (1.00); DUTPDPm (1.00); GK1 (1.00); GMPR (0.97); NDPK1 (1.00); NDPK10 (1.00); NDPK10n (1.00); NDPK3m (1.00); NDPK4n (1.00); NDPK5 (1.00); NDPK6m (1.00); NDPK8 (1.00); NDPK8m (1.00); NTD7 (1.00); NTD8 (1.00); NTD9m (1.00); PUNP1 (1.00); RNDR2 (1.00); RNDR3 (1.00); TMDSm (1.00); TRDR (1.00); UMPK2m (1.00); URIDK2 (1.00); r0475 (1.00); r0531 (1.00),36,1.61353025067125,1.6386403824479736,-0.0251101317767235,-0.0006975036604645416
"Nucleotide metabolism; Nitrogen disposal; AA central (A/D/E,G/S/T); Biomass And Maintenance Functions; Nucleotide Salvage Pathway; Purine Catabolism",Nucleotide Metabolism,0,0,0,0,31,,,,,,ADK1 (1.00); ADSL1 (1.00); ADSS (1.00); ATPM (1.00); CTPS2 (1.00); CYTDK1 (1.00); CYTK1 (1.00); CYTK1m (1.00); GK1 (1.00); GMPR (0.97); GUAPRT (1.00); NDPK1 (1.00); NDPK10 (1.00); NDPK10n (1.00); NDPK3m (1.00); NDPK4n (1.00); NDPK5 (1.00); NDPK6m (1.00); NDPK8 (1.00); NDPK8m (1.00); NTD2 (1.00); NTD7 (1.00); NTD8 (1.00); PUNP1 (1.00); PUNP2 (1.00); PUNP3 (1.00); PUNP4 (1.00); PYNP2r (1.00); R_group_phosphotase_1 (1.00); URIDK2 (1.00); r0276 (0.97),31,21.046604046521875,21.096824310078894,-0.05022026355701925,-0.0016200085018393308
"Nucleotide metabolism; Nitrogen disposal; AA central (A/D/E,G/S/T); Folate Metabolism; Biomass And Maintenance Functions; Nucleotide Salvage Pathway; Redox & Pentose Metabolism; Biosynthesis Of Amino Acids; Purine Catabolism",Purine Metabolism,0,0,0,0,31,,,,,,ADK1 (1.00); ADSL1 (1.00); ADSL2 (1.00); ADSS (1.00); AICART (1.00); AIRCr (1.00); ATPM (1.00); GARFT (1.00); GK1 (1.00); GLUPRT (1.00); GMPR (0.97); GUAPRT (1.00); IMPC (1.00); NDPK1 (1.00); NDPK10 (1.00); NDPK10n (1.00); NDPK5 (1.00); NDPK8 (1.00); NDPK8m (1.00); NTD7 (1.00); NTD8 (1.00); PPM (1.00); PRAGSr (1.00); PRASCS (1.00); PRFGS (1.00); PRPPS (1.00); PUNP1 (1.00); PUNP2 (1.00); PUNP3 (1.00); PUNP4 (1.00); r0276 (0.97),31,21.06290621947831,21.113126483030317,-0.05022026355200637,-0.0016200085016776248
Nucleotide metabolism; Nucleotide Salvage Pathway; Nitrogen disposal,Nucleotide Salvage Pathway,0,0,0,0,1,,,,,,GUAPRT (1.00),1,0.0249033043262124,0.0249033043263725,-1.6010109904485148e-13,-1.6010109904485148e-13
Nucleotide metabolism; Purine Catabolism; Nitrogen disposal,Purine Catabolism,0,0,0,0,4,,,,,,PUNP2 (1.00); PUNP3 (1.00); PUNP4 (1.00); r0276 (0.97),4,0.9971310574547032,1.0222411892355394,-0.02511013178083621,-0.006277532945209052
Oxidative Phosphorylation,Oxidative Phosphorylation,0,0,0,0,5,,,,,,ATPS4m (0.96); CYOOm3 (0.95); CYOR_u10m (0.95); NADH2_u10m (1.04); PPAm (1.00),5,28.765083026455606,29.63164785791671,-0.8665648314611047,-0.17331296629222095
Pseudoreactions,Pseudoreactions,3,2,1,2,27,EX_co2_e (1.99); EX_cys__L_e (2.52); EX_gthrd_e (2.32),EX_lys__L_e (0.74); EX_oaa_e (0.27),,EX_cgly_e (1000.00),EX_ala__L_e (2000.00); EX_gly_e (2000.00),EX_C02470_e (1.00); EX_arg__L_e (1.00); EX_asn__L_e (1.00); EX_chol_e (1.00); EX_chsterol_e (1.00); EX_glc__D_e (1.00); EX_gln__L_e (1.00); EX_glu__L_e (1.00); EX_h2o2_e (0.95); EX_h_e (0.93); EX_hco3_e (0.86); EX_his__L_e (1.00); EX_ile__L_e (1.00); EX_inost_e (1.00); EX_lac__L_e (1.04); EX_leu__L_e (1.00); EX_met__L_e (1.00); EX_nh4_e (0.98); EX_o2_e (0.95); EX_phe__L_e (1.00); EX_pi_e (1.00); EX_pro__L_e (1.00); EX_ser__L_e (1.00); EX_thr__L_e (1.00); EX_trp__L_e (1.00); EX_tyr__L_e (1.00); EX_val__L_e (1.00),35,33.831036335661,34.490651461918404,-0.6596151262574068,-0.018846146464497338
Redox & Pentose Metabolism,Glutathione Metabolism,2,0,1,0,1,AMPTASECG (1.79); r0129 (1.79),,,r0130 (1000.00),,GND (1.00),4,0.0879277819665215,0.048967110117234494,0.038960671849287004,0.009740167962321751
