Pathways,flux_slow,flux_fast,flux_difference
2-oxocarboxylic Acid Metabolism,33.289870713188535,28.254745360098056,-5.0351253530904785
"Alanine, Aspartate And Glutamate Metabolism",19.771341518130427,26.38999746077399,6.618655942643564
Arginine And Proline Metabolism,0.1583217392968847,0.10853536561490221,-0.04978637368198249
Arginine Biosynthesis,1.478224682124424,2.2214541763832614,0.7432294942588373
Biomass And Maintenance Functions,18.517150940626145,18.523677894641775,0.006526954015630082
Biosynthesis Of Amino Acids,53.45739967745758,66.80565339972864,13.34825372227106
Butanoate Metabolism,0.22141631095610304,0.2866504227921927,0.06523411183608968
Cholesterol Metabolism,0.0369027184927233,0.0509463999359198,0.014043681443196503
Citric Acid Cycle,9.639751805307023,8.635075110860623,-1.0046766944464007
Cyanoamino Acid Metabolism,0.0056002829215179,0.0058287263122299,0.00022844339071200013
Cysteine And Methionine Metabolism,0.0112005658430358,0.011657452624459701,0.0004568867814239014
Extracellular Transport,48.01813613448172,50.59902917964279,2.580893045161069
Fatty Acid Biosynthesis,0.11070815547781679,0.15283919980775912,0.04213104432994233
Fatty Acid Degradation,0.1798078202799063,0.2302208380826871,0.05041301780278079
Fatty Acid Metabolism,0.1752879128401134,0.2239808367627903,0.04869292392267688
Folate Metabolism,10.706985542222025,19.86939567345408,9.162410131232054
Fructose And Mannose Metabolism,8.085567215597507,0.0,-8.085567215597507
Glutathione Metabolism,0.899315475088058,0.8061429303406187,-0.0931725447474393
Glycerophospholipid Metabolism,0.04945809887985791,0.0692932639535116,0.01983516507365369
"Glycine, Serine And Threonine Metabolism",23.664617501941407,34.145098967667174,10.480481465725767
Glycolysis/Gluconeogenesis,30.49378284119766,70.54479606716163,40.05101322596397
Glyoxylate And Dicarboxylate Metabolism,8.72251287907234,20.473431716794547,11.750918837722207
Histidine Metabolism,0.0199999999986172,0.020000000001108,2.4907992335343465e-12
Lysine Biosynthesis,0.0369027184927233,0.0319184231125983,-0.004984295380125001
Lysine Degradation,0.22141631095622252,0.22956649232222817,0.008150181366005649
Lysine Metabolism,0.1845135924636165,0.1595921155629915,-0.024921476900625017
Methane Metabolism,10.803818337508128,19.94448586558162,9.140667528073491
Nitrogen Metabolism,1.8881685265147947,1.362741012457136,-0.5254275140576588
Nucleotide Interconversion,3.3070382177830986,1.9111398081239181,-1.3958984096591804
Nucleotide Metabolism,23.154123977974784,20.373460014164873,-2.7806639638099107
Nucleotide Salvage Pathway,0.0125004116225447,0.0169094974241143,0.0044090858015696024
Oxidative Phosphorylation,35.39981148220849,23.009208377254133,-12.390603104954359
Pantothenate And Coa Biosynthesis,0.032576222210371,22.54489525824949,22.51231903603912
Pentose And Glucuronate Interconversions,0.0013216171827697,0.0018245712053058,0.0005029540225361001
Pentose Phosphate Pathway,0.0549342741653278,5.05853843272002,5.003604158554692
Phenylalanine Metabolism,28.24621408805496,0.0,-28.24621408805496
"Phenylalanine, Tyrosine And Tryptophan Biosynthesis",28.24621408805496,0.0,-28.24621408805496
Propanoate Metabolism,1.8820886798699576,1.7238953705896711,-0.15819330928028652
Purine Catabolism,1.3882796268779571,0.0191907915391651,-1.369088835338792
Purine Metabolism,23.171346798193348,20.396541012762818,-2.77480578543053
Purine Synthesis,0.0336753573914738,0.04649083579385499,0.012815478402381189
Pyrimidine Catabolism,0.023728737978851198,0.0327589355051164,0.009030197526265205
Pyrimidine Metabolism,0.0545491326425068,0.0716924266302766,0.0171432939877698
Pyrimidine Synthesis,0.025557388419354902,0.0316675976638066,0.006110209244451697
Pyruvate Metabolism,9.542878352972917,13.752723211672512,4.209844858699595
Sphingolipid Metabolism,0.0018351506469974999,0.0025335347264991,0.0006983840795016002
Starch And Sucrose Metabolism,5.403287296571358,5.001216380803424,-0.4020709157679345
Synthesis And Degradation Of Ketone Bodies,0.0369027184927233,0.0509463999359198,0.014043681443196503
Taurine And Hypotaurine Metabolism,0.9041002719454736,0.4586198009875736,-0.4454804709579
Terpenoid Backbone Biosynthesis,0.07380543698532929,0.12092077669515651,0.04711533970982722
"Transport, Endoplasmic Reticulum",0.0008575470313073,0.013989468422538,0.0131319213912307
"Transport, Mitochondrial",115.80780197320735,83.13754594803416,-32.67025602517319
"Transport, Nuclear",0.0024011316876607,0.0033149052500758003,0.0009137735624151003
"Transport, Peroxisomal",15.180028104393912,38.88481593640884,23.70478783201493
Triacylglycerol Synthesis,0.0175314342439376,0.0242031887331523,0.0066717544892146985
Tryptophan Metabolism,0.19318894985669874,0.2105425706866359,0.01735362082993716
Unknown,33.912723813979774,51.85290288006712,17.940179066087346
Urea Cycle,0.11996534137857032,0.1121512642614367,-0.007814077117133611
"Valine, Leucine And Isoleucine Biosynthesis",0.787806813766207,23.203367662462973,22.415560848696767
"Valine, Leucine And Isoleucine Degradation",0.6623947789795699,23.186061551148683,22.52366677216911
Vitamin C Metabolism,0.0913387575241108,0.0564511553931282,-0.0348876021309826
